Year,Units,variable_code,Value
2023, Beef Cattle and Grain Farming",Percentage,Financial ratios
2023, Beef Cattle and Grain Farming",Percentage,Financial ratios
2023, Beef Cattle and Grain Farming",Percentage,Financial ratios
2023, Beef Cattle and Grain Farming",Percentage,Financial ratios
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial performance
2023, Beef Cattle and Grain Farming",Dollars (millions), government funding
2023, Beef Cattle and Grain Farming",Dollars (millions), dividends and donations"
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial performance
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial performance
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial performance
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial performance
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial performance
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial performance
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial performance
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial performance
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial performance
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial performance
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial performance
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial performance
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial position
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial position
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial position
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial position
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial position
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial position
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial position
2023, Beef Cattle and Grain Farming",Dollars (millions),Financial position
2023, Beef Cattle and Grain Farming",Dollars,Financial ratios
2023, Beef Cattle and Grain Farming",Dollars,Financial ratios
2023, Beef Cattle and Grain Farming",Percentage,Financial ratios
2023, Beef Cattle and Grain Farming",Percentage,Financial ratios
2023, Beef Cattle and Grain Farming",Percentage,Financial ratios
2023, Beef Cattle and Grain Farming",Percentage,Financial ratios
2023, Beef Cattle and Grain Farming",Percentage,Financial ratios
2023,Dollars (millions),H01,17849
2023,Dollars (millions),H04, grants and subsidies"
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H07,370
2023,Dollars (millions),H08,15227
2023,Dollars (millions),H09,1782
2023,Dollars (millions),H10,187
2023,Dollars (millions),H11,735
2023,Dollars (millions),H12,1911
2023,Dollars (millions),H13,0
2023,Dollars (millions),H19,10559
2023,Dollars (millions),H20,54
2023,Dollars (millions),H21,6052
2023,Dollars (millions),H22,6202
2023,Dollars (millions),H23,2771
2023,Dollars (millions),H24,71040
2023,Dollars (millions),H25,13257
2023,Dollars (millions),H26,46819
2023,Dollars (millions),H29,10965
2023,Dollars (millions),H30,71040
2023,Dollars (millions),H31,28605
2023,Dollars (millions),H32,12307
2023,Dollars (millions),H33,30128
2023,Dollars,H34,724200
2023,Dollars,H35,112400
2023,Percentage,H36,108
2023,Percentage,H37,57
2023,Percentage,H39,10
2023,Percentage,H40,4
2023,Percentage,H41,40
2023,Dollars (millions),H01,17849
2023,Dollars (millions),H04, grants and subsidies"
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H07,370
2023,Dollars (millions),H08,15227
2023,Dollars (millions),H09,1782
2023,Dollars (millions),H10,187
2023,Dollars (millions),H11,735
2023,Dollars (millions),H12,1911
2023,Dollars (millions),H13,0
2023,Dollars (millions),H19,10559
2023,Dollars (millions),H20,54
2023,Dollars (millions),H21,6052
2023,Dollars (millions),H22,6202
2023,Dollars (millions),H23,2771
2023,Dollars (millions),H24,71040
2023,Dollars (millions),H25,13257
2023,Dollars (millions),H26,46819
2023,Dollars (millions),H29,10965
2023,Dollars (millions),H30,71040
2023,Dollars (millions),H31,28605
2023,Dollars (millions),H32,12307
2023,Dollars (millions),H33,30128
2023,Dollars,H34,724200
2023,Dollars,H35,112400
2023,Percentage,H36,108
2023,Percentage,H37,57
2023,Percentage,H39,10
2023,Percentage,H40,4
2023,Percentage,H41,40
2023, Deer and Other Livestock Farming",Dollars (millions),Financial performance
2023, Deer and Other Livestock Farming",Dollars (millions), government funding
2023, Deer and Other Livestock Farming",Dollars (millions), dividends and donations"
2023, Deer and Other Livestock Farming",Dollars (millions),Financial performance
2023, Deer and Other Livestock Farming",Dollars (millions),Financial performance
2023, Deer and Other Livestock Farming",Dollars (millions),Financial performance
2023, Deer and Other Livestock Farming",Dollars (millions),Financial performance
2023, Deer and Other Livestock Farming",Dollars (millions),Financial performance
2023, Deer and Other Livestock Farming",Dollars (millions),Financial performance
2023, Deer and Other Livestock Farming",Dollars (millions),Financial performance
2023, Deer and Other Livestock Farming",Dollars (millions),Financial performance
2023, Deer and Other Livestock Farming",Dollars (millions),Financial performance
2023, Deer and Other Livestock Farming",Dollars (millions),Financial performance
2023, Deer and Other Livestock Farming",Dollars (millions),Financial performance
2023, Deer and Other Livestock Farming",Dollars (millions),Financial performance
2023, Deer and Other Livestock Farming",Dollars (millions),Financial position
2023, Deer and Other Livestock Farming",Dollars (millions),Financial position
2023, Deer and Other Livestock Farming",Dollars (millions),Financial position
2023, Deer and Other Livestock Farming",Dollars (millions),Financial position
2023, Deer and Other Livestock Farming",Dollars (millions),Financial position
2023, Deer and Other Livestock Farming",Dollars (millions),Financial position
2023, Deer and Other Livestock Farming",Dollars (millions),Financial position
2023, Deer and Other Livestock Farming",Dollars (millions),Financial position
2023, Deer and Other Livestock Farming",Dollars,Financial ratios
2023, Deer and Other Livestock Farming",Dollars,Financial ratios
2023, Deer and Other Livestock Farming",Percentage,Financial ratios
2023, Deer and Other Livestock Farming",Percentage,Financial ratios
2023, Deer and Other Livestock Farming",Percentage,Financial ratios
2023, Deer and Other Livestock Farming",Percentage,Financial ratios
2023, Deer and Other Livestock Farming",Percentage,Financial ratios
2023, Deer and Other Livestock Farming",Dollars (millions),Financial performance
2023, Deer and Other Livestock Farming",Dollars (millions), government funding
2023, Deer and Other Livestock Farming",Dollars (millions), dividends and donations"
2023, Deer and Other Livestock Farming",Dollars (millions),Financial performance
2023, Deer and Other Livestock Farming",Dollars (millions),Financial performance
2023, Deer and Other Livestock Farming",Dollars (millions),Financial performance
2023, Deer and Other Livestock Farming",Dollars (millions),Financial performance
2023, Deer and Other Livestock Farming",Dollars (millions),Financial performance
2023, Deer and Other Livestock Farming",Dollars (millions),Financial performance
2023, Deer and Other Livestock Farming",Dollars (millions),Financial performance
2023, Deer and Other Livestock Farming",Dollars (millions),Financial performance
2023, Deer and Other Livestock Farming",Dollars (millions),Financial performance
2023, Deer and Other Livestock Farming",Dollars (millions),Financial performance
2023, Deer and Other Livestock Farming",Dollars (millions),Financial performance
2023, Deer and Other Livestock Farming",Dollars (millions),Financial performance
2023, Deer and Other Livestock Farming",Dollars (millions),Financial position
2023, Deer and Other Livestock Farming",Dollars (millions),Financial position
2023, Deer and Other Livestock Farming",Dollars (millions),Financial position
2023, Deer and Other Livestock Farming",Dollars (millions),Financial position
2023, Deer and Other Livestock Farming",Dollars (millions),Financial position
2023, Deer and Other Livestock Farming",Dollars (millions),Financial position
2023, Deer and Other Livestock Farming",Dollars (millions),Financial position
2023, Deer and Other Livestock Farming",Dollars (millions),Financial position
2023, Deer and Other Livestock Farming",Dollars,Financial ratios
2023, Deer and Other Livestock Farming",Dollars,Financial ratios
2023, Deer and Other Livestock Farming",Percentage,Financial ratios
2023, Deer and Other Livestock Farming",Percentage,Financial ratios
2023, Deer and Other Livestock Farming",Percentage,Financial ratios
2023, Deer and Other Livestock Farming",Percentage,Financial ratios
2023, Deer and Other Livestock Farming",Percentage,Financial ratios
2023,Dollars (millions),H01,6424
2023,Dollars (millions),H04,5897
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H06,Financial performance
2023,Dollars (millions),H07,465
2023,Dollars (millions),H08,6304
2023,Dollars (millions),H09,298
2023,Dollars (millions),H10,27
2023,Dollars (millions),H11,285
2023,Dollars (millions),H12,447
2023,Dollars (millions),H13,0
2023,Dollars (millions),H19,4355
2023,Dollars (millions),H20,893
2023,Dollars (millions),H21,180
2023,Dollars (millions),H22,180
2023,Dollars (millions),H23,120
2023,Dollars (millions),H24,32001
2023,Dollars (millions),H25,2133
2023,Dollars (millions),H26,7805
2023,Dollars (millions),H29,22063
2023,Dollars (millions),H30,32001
2023,Dollars (millions),H31,20352
2023,Dollars (millions),H32,3672
2023,Dollars (millions),H33,7977
2023,Dollars,H34,1280600
2023,Dollars,H35,23900
2023,Percentage,H36,58
2023,Percentage,H37,53
2023,Percentage,H39,1
2023,Percentage,H40,0
2023,Percentage,H41,64
2023,Dollars (millions),H01,6424
2023,Dollars (millions),H04,5897
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H06,Financial performance
2023,Dollars (millions),H07,465
2023,Dollars (millions),H08,6304
2023,Dollars (millions),H09,298
2023,Dollars (millions),H10,27
2023,Dollars (millions),H11,285
2023,Dollars (millions),H12,447
2023,Dollars (millions),H13,0
2023,Dollars (millions),H19,4355
2023,Dollars (millions),H20,893
2023,Dollars (millions),H21,180
2023,Dollars (millions),H22,180
2023,Dollars (millions),H23,120
2023,Dollars (millions),H24,32001
2023,Dollars (millions),H25,2133
2023,Dollars (millions),H26,7805
2023,Dollars (millions),H29,22063
2023,Dollars (millions),H30,32001
2023,Dollars (millions),H31,20352
2023,Dollars (millions),H32,3672
2023,Dollars (millions),H33,7977
2023,Dollars,H34,1280600
2023,Dollars,H35,23900
2023,Percentage,H36,58
2023,Percentage,H37,53
2023,Percentage,H39,1
2023,Percentage,H40,0
2023,Percentage,H41,64
2023,Dollars (millions),H01,1715
2023,Dollars (millions),H04, grants and subsidies"
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H07,18
2023,Dollars (millions),H08,1539
2023,Dollars (millions),H09,33
2023,Dollars (millions),H10,17
2023,Dollars (millions),H11,80
2023,Dollars (millions),H12,271
2023,Dollars (millions),H13,0
2023,Dollars (millions),H19,1120
2023,Dollars (millions),H20,19
2023,Dollars (millions),H21,210
2023,Dollars (millions),H22,222
2023,Dollars (millions),H23,187
2023,Dollars (millions),H24,2704
2023,Dollars (millions),H25,814
2023,Dollars (millions),H26,706
2023,Dollars (millions),H29,1184
2023,Dollars (millions),H30,2704
2023,Dollars (millions),H31,1315
2023,Dollars (millions),H32,556
2023,Dollars (millions),H33,833
2023,Dollars,H34,573500
2023,Dollars,H35,62600
2023,Percentage,H36,146
2023,Percentage,H37,106
2023,Percentage,H39,14
2023,Percentage,H40,7
2023,Percentage,H41,49
2023, Forestry and Fishing Support Services and Hunting",Dollars (millions),Financial performance
2023, Forestry and Fishing Support Services and Hunting",Dollars (millions),Financial performance
2023, Forestry and Fishing Support Services and Hunting",Dollars (millions), dividends and donations"
2023, Forestry and Fishing Support Services and Hunting",Dollars (millions), grants and subsidies"
2023, Forestry and Fishing Support Services and Hunting",Dollars (millions),Financial performance
2023, Forestry and Fishing Support Services and Hunting",Dollars (millions),Financial performance
2023, Forestry and Fishing Support Services and Hunting",Dollars (millions),Financial performance
2023, Forestry and Fishing Support Services and Hunting",Dollars (millions),Financial performance
2023, Forestry and Fishing Support Services and Hunting",Dollars (millions),Financial performance
2023, Forestry and Fishing Support Services and Hunting",Dollars (millions),Financial performance
2023, Forestry and Fishing Support Services and Hunting",Dollars (millions),Financial performance
2023, Forestry and Fishing Support Services and Hunting",Dollars (millions),Financial performance
2023, Forestry and Fishing Support Services and Hunting",Dollars (millions),Financial performance
2023, Forestry and Fishing Support Services and Hunting",Dollars (millions),Financial performance
2023, Forestry and Fishing Support Services and Hunting",Dollars (millions),Financial performance
2023, Forestry and Fishing Support Services and Hunting",Dollars (millions),Financial performance
2023, Forestry and Fishing Support Services and Hunting",Dollars (millions),Financial position
2023, Forestry and Fishing Support Services and Hunting",Dollars (millions),Financial position
2023, Forestry and Fishing Support Services and Hunting",Dollars (millions),Financial position
2023, Forestry and Fishing Support Services and Hunting",Dollars (millions),Financial position
2023, Forestry and Fishing Support Services and Hunting",Dollars (millions),Financial position
2023, Forestry and Fishing Support Services and Hunting",Dollars (millions),Financial position
2023, Forestry and Fishing Support Services and Hunting",Dollars (millions),Financial position
2023, Forestry and Fishing Support Services and Hunting",Dollars (millions),Financial position
2023, Forestry and Fishing Support Services and Hunting",Dollars,Financial ratios
2023, Forestry and Fishing Support Services and Hunting",Dollars,Financial ratios
2023, Forestry and Fishing Support Services and Hunting",Percentage,Financial ratios
2023, Forestry and Fishing Support Services and Hunting",Percentage,Financial ratios
2023, Forestry and Fishing Support Services and Hunting",Percentage,Financial ratios
2023, Forestry and Fishing Support Services and Hunting",Percentage,Financial ratios
2023, Forestry and Fishing Support Services and Hunting",Percentage,Financial ratios
2023,Dollars (millions),H01,6237
2023,Dollars (millions),H04,5709
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H06,Financial performance
2023,Dollars (millions),H07,438
2023,Dollars (millions),H08,5232
2023,Dollars (millions),H09,171
2023,Dollars (millions),H10,47
2023,Dollars (millions),H11,799
2023,Dollars (millions),H12,754
2023,Dollars (millions),H13,0
2023,Dollars (millions),H19,2657
2023,Dollars (millions),H20,804
2023,Dollars (millions),H21,373
2023,Dollars (millions),H22,475
2023,Dollars (millions),H23,1106
2023,Dollars (millions),H24,12637
2023,Dollars (millions),H25,4191
2023,Dollars (millions),H26,6042
2023,Dollars (millions),H27,1371
2023,Dollars (millions),H28,131
2023,Dollars (millions),H29,2405
2023,Dollars (millions),H30,12637
2023,Dollars (millions),H31,4342
2023,Dollars (millions),H32,2965
2023,Dollars (millions),H33,5330
2023,Dollars,H34,1008600
2023,Dollars,H35,178900
2023,Percentage,H36,141
2023,Percentage,H37,125
2023,Percentage,H39,25
2023,Percentage,H40,9
2023,Percentage,H41,34
2023,Dollars (millions),H01,131578
2023,Dollars (millions),H02,7804
2023,Dollars (millions),H03,122081
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H06,Financial performance
2023,Dollars (millions),H07,943
2023,Dollars (millions),H08,122767
2023,Dollars (millions),H09,1033
2023,Dollars (millions),H10,938
2023,Dollars (millions),H11,3878
2023,Dollars (millions),H12,18911
2023,Dollars (millions),H13,37
2023,Dollars (millions),H17,5297
2023,Dollars (millions),H18,91700
2023,Dollars (millions),H20,1009
2023,Dollars (millions),H21,18180
2023,Dollars (millions),H22,19392
2023,Dollars (millions),H23,10023
2023,Dollars (millions),H24,105992
2023,Dollars (millions),H25,51626
2023,Dollars (millions),H26,31127
2023,Dollars (millions),H27,4894
2023,Dollars (millions),H28,1077
2023,Dollars (millions),H29,23239
2023,Dollars (millions),H30,105992
2023,Dollars (millions),H31,50126
2023,Dollars (millions),H32,33507
2023,Dollars (millions),H33,22359
2023,Dollars,H34,545300
2023,Dollars,H35,41500
2023,Percentage,H36,154
2023,Percentage,H37,96
2023,Percentage,H38,32
2023,Percentage,H39,20
2023,Percentage,H40,9
2023,Percentage,H41,47
2023,Dollars (millions),H01,7458
2023,Dollars (millions),H02,523
2023,Dollars (millions),H03,6762
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H06,Financial performance
2023,Dollars (millions),H07,148
2023,Dollars (millions),H08,7014
2023,Dollars (millions),H09,119
2023,Dollars (millions),H10,619
2023,Dollars (millions),H11,347
2023,Dollars (millions),H12,764
2023,Dollars (millions),H13,1
2023,Dollars (millions),H17,357
2023,Dollars (millions),H18,4753
2023,Dollars (millions),H20,56
2023,Dollars (millions),H21,2029
2023,Dollars (millions),H22,2384
2023,Dollars (millions),H23,798
2023,Dollars (millions),H24,11326
2023,Dollars (millions),H25,5228
2023,Dollars (millions),H26,4062
2023,Dollars (millions),H27,576
2023,Dollars (millions),H28,74
2023,Dollars (millions),H29,2035
2023,Dollars (millions),H30,11326
2023,Dollars (millions),H31,5704
2023,Dollars (millions),H32,3025
2023,Dollars (millions),H33,2596
2023,Dollars,H34,703000
2023,Dollars,H35,75200
2023,Percentage,H36,173
2023,Percentage,H37,94
2023,Percentage,H38,32
2023,Percentage,H39,14
2023,Percentage,H40,7
2023,Percentage,H41,50
2023,Dollars (millions),H01,7458
2023,Dollars (millions),H02,523
2023,Dollars (millions),H03,6762
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H06,Financial performance
2023,Dollars (millions),H07,148
2023,Dollars (millions),H08,7014
2023,Dollars (millions),H09,119
2023,Dollars (millions),H10,619
2023,Dollars (millions),H11,347
2023,Dollars (millions),H12,764
2023,Dollars (millions),H13,1
2023,Dollars (millions),H17,357
2023,Dollars (millions),H18,4753
2023,Dollars (millions),H20,56
2023,Dollars (millions),H21,2029
2023,Dollars (millions),H22,2384
2023,Dollars (millions),H23,798
2023,Dollars (millions),H24,11326
2023,Dollars (millions),H25,5228
2023,Dollars (millions),H26,4062
2023,Dollars (millions),H27,576
2023,Dollars (millions),H28,74
2023,Dollars (millions),H29,2035
2023,Dollars (millions),H30,11326
2023,Dollars (millions),H31,5704
2023,Dollars (millions),H32,3025
2023,Dollars (millions),H33,2596
2023,Dollars,H34,703000
2023,Dollars,H35,75200
2023,Percentage,H36,173
2023,Percentage,H37,94
2023,Percentage,H38,32
2023,Percentage,H39,14
2023,Percentage,H40,7
2023,Percentage,H41,50
2023, Leather, Clothing and Footwear Manufacturing",Total income
2023, Leather, Clothing and Footwear Manufacturing",Sales of goods not further processed
2023, Leather, Clothing and Footwear Manufacturing",Sales of other goods and services
2023, Leather, Clothing and Footwear Manufacturing","Interest
2023, Leather, Clothing and Footwear Manufacturing","Government funding
2023, Leather, Clothing and Footwear Manufacturing",Non-operating income
2023, Leather, Clothing and Footwear Manufacturing",Total expenditure
2023, Leather, Clothing and Footwear Manufacturing",Interest and donations
2023, Leather, Clothing and Footwear Manufacturing",Indirect taxes
2023, Leather, Clothing and Footwear Manufacturing",Depreciation
2023, Leather, Clothing and Footwear Manufacturing",Salaries and wages paid
2023, Leather, Clothing and Footwear Manufacturing",Redundancy and severance
2023, Leather, Clothing and Footwear Manufacturing",Purchases of goods bought for resale
2023, Leather, Clothing and Footwear Manufacturing",Other Purchases and operating expenses
2023, Leather, Clothing and Footwear Manufacturing",Non-operating expenses
2023, Leather, Clothing and Footwear Manufacturing",Opening stocks
2023, Leather, Clothing and Footwear Manufacturing",Closing stocks
2023, Leather, Clothing and Footwear Manufacturing",Surplus before income tax
2023, Leather, Clothing and Footwear Manufacturing",Total assets
2023, Leather, Clothing and Footwear Manufacturing",Current assets
2023, Leather, Clothing and Footwear Manufacturing",Fixed tangible assets
2023, Leather, Clothing and Footwear Manufacturing",Additions to fixed assets
2023, Leather, Clothing and Footwear Manufacturing",Disposals of fixed assets
2023, Leather, Clothing and Footwear Manufacturing",Other assets
2023, Leather, Clothing and Footwear Manufacturing",Total equity and liabilities
2023, Leather, Clothing and Footwear Manufacturing",Shareholders funds or owners equity
2023, Leather, Clothing and Footwear Manufacturing",Current liabilities
2023, Leather, Clothing and Footwear Manufacturing",Other liabilities
2023, Leather, Clothing and Footwear Manufacturing",Total income per employee count
2023, Leather, Clothing and Footwear Manufacturing",Surplus per employee count
2023, Leather, Clothing and Footwear Manufacturing",Current ratio
2023, Leather, Clothing and Footwear Manufacturing",Quick ratio
2023, Leather, Clothing and Footwear Manufacturing",Margin on sales of goods for resale
2023, Leather, Clothing and Footwear Manufacturing",Return on equity
2023, Leather, Clothing and Footwear Manufacturing",Return on total assets
2023, Leather, Clothing and Footwear Manufacturing",Liabilities structure
2023,Dollars (millions),H01,1735
2023,Dollars (millions),H02,236
2023,Dollars (millions),H03,1479
2023,Dollars (millions),H05,Financial performance
2023,Dollars (millions),H06,Financial performance
2023,Dollars (millions),H07,5
2023,Dollars (millions),H08,1665
2023,Dollars (millions),H09,25
2023,Dollars (millions),H10,8
2023,Dollars (millions),H11,41
2023,Dollars (millions),H12,377
2023,Dollars (millions),H13,0
2023,Dollars (millions),H17,157
2023,Dollars (millions),H18,1043
2023,Dollars (millions),H20,14
2023,Dollars (millions),H21,331
2023,Dollars (millions),H22,349
2023,Dollars (millions),H23,88
2023,Dollars (millions),H24,1656
2023,Dollars (millions),H25,906
2023,Dollars (millions),H26,359
2023,Dollars (millions),H27,57
2023,Dollars (millions),H28,14
2023,Dollars (millions),H29,391
2023,Dollars (millions),H30,1656
2023,Dollars (millions),H31,623
2023,Dollars (millions),H32,591
2023,Dollars (millions),H33,441
2023,Dollars,H34,329900
2023,Dollars,H35,16800
2023,Percentage,H36,153
2023,Percentage,H37,94
2023,Percentage,H38,34
2023,Percentage,H39,14
2023,Percentage,H40,5
2023,Percentage,H41,38
2023, Knitted Products and Footwear Manufacturing",Dollars (millions),Financial performance
2023, Knitted Products and Footwear Manufacturing",Dollars (millions),Financial performance
2023, Knitted Products and Footwear Manufacturing",Dollars (millions),Financial performance
2023, Knitted Products and Footwear Manufacturing",Dollars (millions), dividends and donations"
2023, Knitted Products and Footwear Manufacturing",Dollars (millions), grants and subsidies"
2023, Knitted Products and Footwear Manufacturing",Dollars (millions),Financial performance
2023, Knitted Products and Footwear Manufacturing",Dollars (millions),Financial performance
2023, Knitted Products and Footwear Manufacturing",Dollars (millions),Financial performance
2023, Knitted Products and Footwear Manufacturing",Dollars (millions),Financial performance
2023, Knitted Products and Footwear Manufacturing",Dollars (millions),Financial performance
2023, Knitted Products and Footwear Manufacturing",Dollars (millions),Financial performance
2023, Knitted Products and Footwear Manufacturing",Dollars (millions),Financial performance
2023, Knitted Products and Footwear Manufacturing",Dollars (millions),Financial performance
